word,ner_tag,chunk_tag
Ilya,B-NEP,B-NP
Sutskever,I-NEP,I-NP
(born,O,B-VGNF
8,B-NETI,B-NP
December,I-NETI,I-NP
1986),I-NETI,I-NP
is,O,B-VGF
an,O,B-NP
Israeli-Canadian,O,B-JJP
computer,O,I-NP
scientist,O,I-NP
who,O,O
specializes,O,B-VGF
in,O,O
machine,O,B-NP
learning.,O,I-NP

Sutskever,B-NEP,B-NP
has,O,O
made,O,B-VGNF
several,O,B-NP
major,O,B-JJP
contributions,O,I-NP
to,O,O
the,O,B-NP
field,O,I-NP
of,O,O
deep,O,B-JJP
learning.,O,I-NP

With,O,O
Alex,B-NEP,B-NP
Krizhevsky,I-NEP,I-NP
and,O,O
Geoffrey,B-NEP,B-NP
"Hinton,",I-NEP,I-NP
he,O,O
co-invented,O,B-VGF
"AlexNet,",B-NEAR,B-NP
a,O,B-NP
convolutional,O,B-JJP
neural,O,I-NP
network.,O,I-NP

Sutskever,B-NEP,B-NP
co-founded,O,B-VGF
and,O,O
was,O,B-VGF
a,O,B-NP
former,O,B-JJP
chief,O,I-NP
scientist,O,I-NP
at,O,O
OpenAI.,B-NEO,B-NP

In,O,O
"2023,",O,B-NP
he,O,O
was,O,B-VGF
one,O,B-NP
of,O,O
the,O,B-NP
OpenAI's,O,I-NP
board,O,I-NP
that,O,O
ousted,O,B-VGF
Sam,B-NEP,B-NP
Altman,I-NEP,I-NP
from,O,O
his,O,B-NP
position,O,I-NP
as,O,O
CEO;,O,B-NP

Altman,B-NEP,B-NP
returned,O,B-VGF
a,O,B-NP
week,O,I-NP
"later,",O,O
and,O,O
Sutskever,B-NEP,B-NP
stepped,O,B-VGF
down,O,O
from,O,O
the,O,B-NP
board.,O,I-NP

In,O,O
June,O,B-NP
"2024,",O,I-NP
Sutskever,B-NEP,B-NP
co-founded,O,B-VGF
the,O,B-NP
Safe,B-NEO,B-JJP
Superintelligence,I-NEO,B-NP
with,O,O
Daniel,B-NEP,B-NP
Gross,I-NEP,I-NP
and,O,O
Daniel,B-NEP,B-NP
Levy.,I-NEP,I-NP

Sutskever,B-NEP,B-NP
was,O,B-VGF
born,O,B-VGNF
into,O,O
a,O,B-NP
Jewish,O,B-JJP
family,O,I-NP
in,O,O
Nizhny,B-NEL,B-NP
"Novgorod,",I-NEL,I-NP
Russia,I-NEL,I-NP
(then,O,O
"Gorky,",I-NEL,I-NP
Soviet,I-NEL,I-NP
Union).,I-NEL,I-NP

At,O,O
the,O,B-NP
age,O,I-NP
of,O,O
"5,",O,B-NP
he,O,O
made,O,B-VGF
aliyah,O,B-NP
with,O,O
his,O,B-NP
family,O,I-NP
and,O,O
lived,O,B-VGF
in,O,O
"Jerusalem,",B-NEL,B-NP
until,O,O
he,O,O
was,O,B-VGF
"16,",O,B-NP
when,O,O
his,O,B-NP
family,O,I-NP
moved,O,B-VGF
to,O,O
Canada.,B-NEL,B-NP

Sutskever,O,B-NP
attended,O,B-VGF
the,B-NEO,B-NP
Open,I-NEO,I-NP
University,I-NEO,I-NP
of,I-NEO,I-NP
Israel,I-NEO,I-NP
from,O,O
2000,B-NETI,B-NP
to,I-NETI,I-NP
2002.,I-NETI,I-NP

After,O,O
moving,O,B-VGNF
to,O,O
"Canada,",B-NEL,B-NP
he,O,O
attended,O,B-VGF
the,B-NEO,B-NP
University,I-NEO,I-NP
of,I-NEO,I-NP
Toronto,I-NEO,I-NP
in,O,O
Ontario.,B-NEL,B-NP

Educated,O,B-VGNF
at,O,O
the,B-NEO,B-NP
University,I-NEO,I-NP
